"Année","INS (Bulletin IPC annuel) ins","Banque mondiale (IPC annuel, source INS) donnees.banquemondiale"
"2011","3,5%","3,5%"
"2012","5,1%","5,1%"
"2013","3,7%","3,7%"
"2014","4,9%","4,9%"
"2015","4,9%","4,9%"
"2016","3,7%","3,7%"
"2017","5,3%","5,3%"
"2018","7,3%","7,3%"
"2019","6,7%","6,7%"
"2020","5,6%","5,6%"
"2021","5,7%","5,7%"
"2022","8,3%","8,3%"
"2023","9,3%","9,3%"
"2024","7,0%","7,2% (préliminaire 2024)"
"2025","5,3%","N/D (mise à jour en cours)"
